h_logical_ci_store_end_fixup 00094B14
h_get_tce_start_fixup 00094B50
h_get_tce_end_fixup  00094BB4
h_put_tce_start_fixup 00094BF0
h_put_tce_end_fixup  00094C54
h_put_tce_indirect_start_fixup 00094C90
h_put_tce_indirect_end_fixup 00094CF4
h_stuff_tce_start_fixup 00094D30
h_stuff_tce_end_fixup 00094D94
h_put_rtce_start_fixup 00094DD0
h_put_rtce_end_fixup 00094E34
h_remove_rtce_start_fixup 00094E70
h_remove_rtce_end_fixup 00094ED4
h_real_to_logical_start_fixup 00094F10
h_real_to_logical_end_fixup 00094F74
h_logical_icbi_start_fixup 00094FB0
h_logical_icbi_end_fixup 00095014
h_logical_dcbf_start_fixup 00095050
h_logical_dcbf_end_fixup 000950B4
h_get_term_char_start_fixup 000950F0
h_get_term_char_end_fixup 00095154
h_put_term_char_start_fixup 00095190
h_put_term_char_end_fixup 000951F4
h_set_sprg0_start_fixup 00095230
h_set_sprg0_end_fixup 00095294
h_set_dabr_start_fixup 000952D0
h_set_dabr_end_fixup 00095334
h_ipoll_start_fixup  00095370
h_ipoll_end_fixup    000953D4
h_xirr_start_fixup   00095410
h_xirr_end_fixup     00095474
h_eoi_start_fixup    000954B0
h_eoi_end_fixup      00095514
h_ipi_start_fixup    00095550
h_ipi_end_fixup      000955B4
h_cppr_start_fixup   000955F0
h_cppr_end_fixup     00095654
h_migrate_dma_start_fixup 00095690
h_migrate_dma_end_fixup 000956F4
h_cede_start_fixup   00095730
h_cede_end_fixup     00095754
h_register_vpa_start_fixup 00095790
h_register_vpa_end_fixup 000957F4
h_confer_start_fixup 00095830
h_confer_end_fixup   00095894
h_prod_start_fixup   000958D0
h_prod_end_fixup     00095934
h_get_ppp_start_fixup 00095970
h_get_ppp_end_fixup  000959D4
h_set_ppp_start_fixup 00095A10
h_set_ppp_end_fixup  00095A74
h_purr_start_fixup   00095AB0
h_purr_end_fixup     00095B14
h_pic_start_fixup    00095B50
h_pic_end_fixup      00095BB4
h_vterm_partner_info_start_fixup 00095BF0
h_vterm_partner_info_end_fixup 00095C54
h_register_vterm_start_fixup 00095C90
h_register_vterm_end_fixup 00095CF4
h_free_vterm_start_fixup 00095D30
h_free_vterm_end_fixup 00095D94
h_get_mpp_start_fixup 00095DD0
h_get_mpp_end_fixup  00095E34
h_set_mpp_start_fixup 00095E70
h_set_mpp_end_fixup  00095ED4
h_get_em_parms_start_fixup 00095F10
h_get_em_parms_end_fixup 00095F74
h_vpm_pstat_start_fixup 00095FB0
h_vpm_pstat_end_fixup 00096014
h_hfi_start_interface_start_fixup 00096050
h_hfi_start_interface_end_fixup 000960B4
h_hfi_stop_interface_start_fixup 000960F0
h_hfi_stop_interface_end_fixup 00096154
h_hfi_query_interface_start_fixup 00096190
h_hfi_query_interface_end_fixup 000961F4
h_hfi_query_window_start_fixup 00096230
h_hfi_query_window_end_fixup 00096294
h_hfi_open_window_start_fixup 000962D0
h_hfi_open_window_end_fixup 00096334
h_hfi_close_window_start_fixup 00096370
h_hfi_close_window_end_fixup 000963D4
h_hfi_dump_info_start_fixup 00096410
h_hfi_dump_info_end_fixup 00096474
h_hfi_adapter_attach_start_fixup 000964B0
h_hfi_adapter_attach_end_fixup 00096514
h_hfi_modify_rcxt_start_fixup 00096550
h_hfi_modify_rcxt_end_fixup 000965B4
h_hfi_route_info_start_fixup 000965F0
h_hfi_route_info_end_fixup 00096654
h_cau_write_index_start_fixup 00096690
h_cau_write_index_end_fixup 000966F4
h_cau_read_index_start_fixup 00096730
h_cau_read_index_end_fixup 00096794
h_nmmu_start_start_fixup 000967D0
h_nmmu_start_end_fixup 00096834
h_nmmu_stop_start_fixup 00096870
h_nmmu_stop_end_fixup 000968D4
h_nmmu_allocate_resource_start_fixup 00096910
h_nmmu_allocate_resource_end_fixup 00096974
h_nmmu_free_resource_start_fixup 000969B0
h_nmmu_free_resource_end_fixup 00096A14
h_nmmu_modify_resource_start_fixup 00096A50
h_nmmu_modify_resource_end_fixup 00096AB4
h_confer_adjunct_start_fixup 00096AF0
h_confer_adjunct_end_fixup 00096B54
h_adjunct_mode_start_fixup 00096B90
